DATE,Bitcoin (USD)
22-05-2017,2123.00
23-05-2017,2273.00
24-05-2017,2433.00
25-05-2017,2355.00
26-05-2017,2273.00
27-05-2017,2100.00
28-05-2017,2233.00
29-05-2017,2279.00
30-05-2017,2192.00
31-05-2017,2303.00
01-06-2017,2420.00
02-06-2017,2479.00
03-06-2017,2548.00
04-06-2017,2521.00
05-06-2017,2698.00
06-06-2017,2871.00
07-06-2017,2686.00
08-06-2017,2800.00
09-06-2017,2811.00
10-06-2017,2931.00
11-06-2017,2999.00
12-06-2017,2656.00
13-06-2017,2709.00
14-06-2017,2432.00
15-06-2017,2410.00
16-06-2017,2480.00
17-06-2017,2635.00
18-06-2017,2515.00
19-06-2017,2597.00
20-06-2017,2725.00
21-06-2017,2643.00
22-06-2017,2680.00
23-06-2017,2691.00
24-06-2017,2575.00
25-06-2017,2506.00
26-06-2017,2408.00
27-06-2017,2576.00
28-06-2017,2553.00
29-06-2017,2530.00
30-06-2017,2455.00
01-07-2017,2424.00
02-07-2017,2517.00
03-07-2017,2542.00
04-07-2017,2602.00
05-07-2017,2617.00
06-07-2017,2605.00
07-07-2017,2501.00
08-07-2017,2561.00
09-07-2017,2509.00
10-07-2017,2331.00
11-07-2017,2310.00
12-07-2017,2383.00
13-07-2017,2340.00
14-07-2017,2217.00
15-07-2017,1964.00
16-07-2017,1912.00
17-07-2017,2235.00
18-07-2017,2308.00
19-07-2017,2259.00
20-07-2017,2873.00
21-07-2017,2657.00
22-07-2017,2825.00
23-07-2017,2754.00
24-07-2017,2762.00
25-07-2017,2564.00
26-07-2017,2526.00
27-07-2017,2665.00
28-07-2017,2786.00
29-07-2017,2700.00
30-07-2017,2724.00
31-07-2017,2857.00
01-08-2017,2733.00
02-08-2017,2700.00
03-08-2017,2787.00
04-08-2017,2857.00
05-08-2017,3243.00
06-08-2017,3222.00
07-08-2017,3398.00
08-08-2017,3422.00
09-08-2017,3343.00
10-08-2017,3445.00
11-08-2017,3656.00
12-08-2017,3874.00
13-08-2017,4060.00
14-08-2017,4321.00
15-08-2017,4160.00
16-08-2017,4370.00
17-08-2017,4280.00
18-08-2017,4102.00
19-08-2017,4157.00
20-08-2017,4051.00
21-08-2017,4002.00
22-08-2017,4092.00
23-08-2017,4143.00
24-08-2017,4312.00
25-08-2017,4360.00
26-08-2017,4344.00
27-08-2017,4340.00
28-08-2017,4385.00
29-08-2017,4599.00
30-08-2017,4582.00
31-08-2017,4744.00
01-09-2017,4948.00
02-09-2017,4650.00
03-09-2017,4626.00
04-09-2017,4498.00
05-09-2017,4433.00
06-09-2017,4616.00
07-09-2017,4624.00
08-09-2017,4350.00
09-09-2017,4334.00
10-09-2017,4251.00
11-09-2017,4211.00
12-09-2017,4165.00
13-09-2017,3855.00
14-09-2017,3250.00
15-09-2017,3740.00
16-09-2017,3727.00
17-09-2017,3720.00
18-09-2017,4100.00
19-09-2017,3910.00
