DATE,Corporate Profit ( in Billion)
01-01-1947,21.97
01-04-1947,20.788
01-07-1947,20.564
01-10-1947,22.451
01-01-1948,23.739
01-04-1948,24.941
01-07-1948,24.551
01-10-1948,23.76
01-01-1949,21.683
01-04-1949,19.172
01-07-1949,19.816
01-10-1949,19.457
01-01-1950,20.037
01-04-1950,23.815
01-07-1950,28.777
01-10-1950,31.581
01-01-1951,26.345
01-04-1951,22.589
01-07-1951,20.778
01-10-1951,22.592
01-01-1952,22.062
01-04-1952,21.295
01-07-1952,21.59
01-10-1952,23.752
01-01-1953,24.609
01-04-1953,24.658
01-07-1953,24.201
01-10-1953,19.351
01-01-1954,21.923
01-04-1954,22.529
01-07-1954,23.813
01-10-1954,25.515
01-01-1955,28.583
01-04-1955,29.064
01-07-1955,29.843
01-10-1955,31.115
01-01-1956,30.601
01-04-1956,31.446
01-07-1956,30.211
01-10-1956,31.879
01-01-1957,32.174
01-04-1957,30.883
01-07-1957,30.274
01-10-1957,27.922
01-01-1958,24.236
01-04-1958,24.6
01-07-1958,27.064
01-10-1958,30.458
01-01-1959,32.706
01-04-1959,35.446
01-07-1959,32.441
01-10-1959,31.96
01-01-1960,34.614
01-04-1960,32.312
01-07-1960,31.023
01-10-1960,29.922
01-01-1961,29.223
01-04-1961,30.671
01-07-1961,32.317
01-10-1961,34.595
01-01-1962,35.196
01-04-1962,35.166
01-07-1962,36.205
01-10-1962,37.066
01-01-1963,36.708
01-04-1963,38.652
01-07-1963,39.653
01-10-1963,40.688
01-01-1964,44.409
01-04-1964,44.397
01-07-1964,45.512
01-10-1964,45.174
01-01-1965,50.699
01-04-1965,52.574
01-07-1965,53.517
01-10-1965,56.577
01-01-1966,58.118
01-04-1966,58.576
01-07-1966,58.397
01-10-1966,57.517
01-01-1967,55.152
01-04-1967,55.258
01-07-1967,56.54
01-10-1967,59.497
01-01-1968,58.82
01-04-1968,60.526
01-07-1968,61.024
01-10-1968,62.599
01-01-1969,61.994
01-04-1969,60.335
01-07-1969,58.634
01-10-1969,57.815
01-01-1970,55.323
01-04-1970,55.194
01-07-1970,56.132
01-10-1970,53.35
01-01-1971,60.152
01-04-1971,62.42
01-07-1971,66.544
01-10-1971,68.735
01-01-1972,72.785
01-04-1972,73.825
01-07-1972,77.004
01-10-1972,83.484
01-01-1973,95.547
01-04-1973,99.033
01-07-1973,101.161
01-10-1973,106.253
01-01-1974,112.656
01-04-1974,115.543
01-07-1974,121.06
01-10-1974,107.908
01-01-1975,94.707
01-04-1975,99.406
01-07-1975,115.831
01-10-1975,124.091
01-01-1976,132.702
01-04-1976,136.551
01-07-1976,138.84
01-10-1976,139.091
01-01-1977,149.831
01-04-1977,158.751
01-07-1977,165.143
01-10-1977,166.231
01-01-1978,171.939
01-04-1978,190.742
01-07-1978,197.659
01-10-1978,209.891
01-01-1979,212.498
01-04-1979,220.901
01-07-1979,225.792
01-10-1979,222.428
01-01-1980,223.244
01-04-1980,194.714
01-07-1980,202.262
01-10-1980,208.875
01-01-1981,213.17
01-04-1981,201.614
01-07-1981,206.868
01-10-1981,203.587
01-01-1982,183.468
01-04-1982,185.364
01-07-1982,180.728
01-10-1982,174.574
01-01-1983,176.17
01-04-1983,195.362
01-07-1983,206.519
01-10-1983,211.822
01-01-1984,220.108
01-04-1984,220.957
01-07-1984,212.293
01-10-1984,213.695
01-01-1985,204.768
01-04-1985,205.85
01-07-1985,209.89
01-10-1985,211.649
01-01-1986,176.84
01-04-1986,172.969
01-07-1986,171.499
01-10-1986,175.984
01-01-1987,187.831
01-04-1987,215.335
01-07-1987,230.169
01-10-1987,239.018
01-01-1988,249.639
01-04-1988,265.179
01-07-1988,264.662
01-10-1988,276.88
01-01-1989,275.1
01-04-1989,268.646
01-07-1989,257.909
01-10-1989,258.272
01-01-1990,268.869
01-04-1990,282.342
01-07-1990,288.2
01-10-1990,289.53
01-01-1991,303.293
01-04-1991,309.454
01-07-1991,314.815
01-10-1991,318.455
01-01-1992,328.586
01-04-1992,340.749
01-07-1992,323.237
01-10-1992,330.015
01-01-1993,328.957
01-04-1993,343.279
01-07-1993,355.933
01-10-1993,375.422
01-01-1994,404.995
01-04-1994,418.333
01-07-1994,439.704
01-10-1994,453.102
01-01-1995,467.603
01-04-1995,491.19
01-07-1995,498.739
01-10-1995,505.677
01-01-1996,524.958
01-04-1996,526.924
01-07-1996,522.644
01-10-1996,534.89
01-01-1997,546.764
01-04-1997,565.264
01-07-1997,587.262
01-10-1997,589.208
01-01-1998,514.609
01-04-1998,512.233
01-07-1998,507.761
01-10-1998,490.487
01-01-1999,523.039
01-04-1999,537.853
01-07-1999,536.775
01-10-1999,556.245
01-01-2000,527.574
01-04-2000,519.811
01-07-2000,513.298
