DATE,Midwest_house_price,Northeast_house_price,South_house_price,West_house_price
01-01-1963,17500,20800,16800,18000
01-04-1963,17700,20600,15800,18900
01-07-1963,17800,19600,15900,19000
01-10-1963,19100,20600,15800,19500
01-01-1964,18700,20300,16500,19600
01-04-1964,19800,19800,16800,20100
01-07-1964,18900,20200,16800,20600
01-10-1964,20800,21400,16700,21500
01-01-1965,21900,21000,17400,21600
01-04-1965,20800,21900,16400,22100
01-07-1965,22100,21200,17700,21500
01-10-1965,21100,23100,18100,22400
01-01-1966,22500,23700,17800,23300
01-04-1966,23300,23700,18800,23800
01-07-1966,24100,23700,18200,22500
01-10-1966,23700,23400,18900,22800
01-01-1967,23000,23800,18900,24700
01-04-1967,25900,25400,19400,24700
01-07-1967,24100,25600,19400,23600
01-10-1967,26900,27500,19600,23300
01-01-1968,26900,26600,19800,24700
01-04-1968,28200,26900,22000,25500
01-07-1968,26800,27800,21700,25500
01-10-1968,27700,29900,22400,24800
01-01-1969,27300,31500,23100,24800
01-04-1969,28700,32100,23300,25600
01-07-1969,28700,31300,23000,25400
01-10-1969,26400,30500,21100,25500
01-01-1970,28500,32000,20000,23800
01-04-1970,25000,33100,21100,24700
01-07-1970,23800,26800,20400,24200
01-10-1970,22700,29200,20000,23600
01-01-1971,27100,31000,21300,24700
01-04-1971,27800,30500,22700,26200
01-07-1971,27600,30900,22900,25300
01-10-1971,26200,31300,23200,25600
01-01-1972,28300,31900,23900,26200
01-04-1972,28400,31100,25200,26300
01-07-1972,30200,29400,26600,28300
01-10-1972,30800,33800,27500,28800
01-01-1973,31500,35100,29100,29600
01-04-1973,32200,38400,30900,32800
01-07-1973,33500,36900,32200,33600
01-10-1973,35000,38600,32100,33900
01-01-1974,35200,38600,34800,34400
01-04-1974,36000,39500,33600,36100
01-07-1974,36200,40700,35100,36000
01-10-1974,37500,44000,34900,37200
01-01-1975,37400,44000,36700,38500
01-04-1975,39700,43400,36800,40400
01-07-1975,39300,44400,36500,39800
01-10-1975,41900,44400,39000,43400
01-01-1976,42500,45700,39800,45100
01-04-1976,45800,46300,40400,47400
01-07-1976,44100,48400,41400,47300
01-10-1976,48400,50200,40000,50000
01-01-1977,47600,50900,41200,51700
01-04-1977,50800,53200,44300,53200
01-07-1977,51100,49300,44600,53700
01-10-1977,56400,52000,46100,56800
01-01-1978,54700,56800,47700,58800
01-04-1978,58700,55400,49900,61800
01-07-1978,61400,57800,51300,61000
01-10-1978,63200,60700,53000,65500
01-01-1979,61300,65500,54300,66500
01-04-1979,65300,65800,57400,69600
01-07-1979,64300,66500,59700,73400
01-10-1979,63100,67100,57300,71700
01-01-1980,64700,65400,59000,72100
01-04-1980,60100,67900,58700,74400
01-07-1980,64000,71900,60400,70800
01-10-1980,64200,71400,61200,74100
01-01-1981,68300,71300,62300,74700
01-04-1981,66900,84000,63500,78500
01-07-1981,63600,73700,66000,77500
01-10-1981,65600,71100,66100,79600
01-01-1982,66400,69900,64400,73300
01-04-1982,68600,81600,65700,77900
01-07-1982,64800,81300,67300,72000
01-10-1982,75800,76800,68100,77500
01-01-1983,77000,77800,69200,78800
01-04-1983,80200,81000,69300,78900
01-07-1983,81500,84100,73200,82600
01-10-1983,78100,84900,71900,81900
01-01-1984,81400,82700,71900,85600
01-04-1984,86400,94200,71900,87400
01-07-1984,87500,91200,71100,87400
01-10-1984,86500,86600,73000,89800
01-01-1985,80100,89800,74800,92100
01-04-1985,79600,99800,73600,93700
01-07-1985,78200,108800,74300,90600
01-10-1985,81800,105700,78300,95300
01-01-1986,84100,121500,78400,92800
01-04-1986,89900,121000,79800,95200
01-07-1986,87500,125000,81900,99400
01-10-1986,89900,131500,84400,98500
01-01-1987,90100,139000,85800,104200
01-04-1987,95000,145000,88000,113700
01-07-1987,92000,139900,88900,118000
01-10-1987,103000,142000,89800,116400
01-01-1988,104100,149000,91000,124500
01-04-1988,104000,145000,89300,123000
01-07-1988,95000,153000,95800,131000
01-10-1988,97500,155000,93000,129000
01-01-1989,109900,168500,93000,135900
01-04-1989,113000,144900,97500,136000
01-07-1989,99500,165700,94900,139000
01-10-1989,110000,161400,96500,144900
01-01-1990,114000,150000,98900,145000
01-04-1990,116500,159900,103000,150000
01-07-1990,99500,158000,95900,150000
01-10-1990,97000,167000,98000,145000
01-01-1991,115000,153900,101300,145000
01-04-1991,110000,150000,100900,143500
01-07-1991,107000,155200,99700,144000
01-10-1991,112900,169000,100000,136000
01-01-1992,112400,166900,106500,129900
01-04-1992,120000,175000,101000,129000
01-07-1992,110000,170000,102000,134500
01-10-1992,125000,165000,110000,132300
01-01-1993,123800,150000,109000,134000
01-04-1993,125000,175000,115500,135000
01-07-1993,127500,155000,114000,136600
01-10-1993,124400,162600,115000,135200
01-01-1994,133000,159900,116200,140000
01-04-1994,131800,172000,118500,137000
01-07-1994,133300,165000,113700,140000
01-10-1994,130000,169000,117900,148000
01-01-1995,130000,179900,118000,139400
01-04-1995,136000,179900,124500,140000
01-07-1995,131000,179900,121000,143000
01-10-1995,135000,183500,127000,143000
01-01-1996,135200,179000,125500,148200
01-04-1996,138200,199700,125000,155900
01-07-1996,134900,181000,123900,154800
01-10-1996,145000,200000,127900,160000
01-01-1997,144900,204400,127100,159900
01-04-1997,148500,189000,129900,160000
01-07-1997,150000,180000,127000,159000
01-10-1997,144500,195000,129000,159000
01-01-1998,160000,196000,131000,163400
01-04-1998,152000,200000,132300,159300
01-07-1998,159000,212000,137300,166400
01-10-1998,156000,200000,138500,165000
01-01-1999,165700,195500,142500,168700
01-04-1999,155200,214700,143000,170400
01-07-1999,163100,206400,141100,173400
01-10-1999,165100,212600,149600,188000
01-01-2000,165300,229300,148000,190300
01-04-2000,165900,239500,142500,190800
01-07-2000,162200,212800,152300,192700
01-10-2000,180000,241400,148400,210300
01-01-2001,170400,242800,154700,206400
01-04-2001,177200,255200,156100,204600
01-07-2001,168600,244200,152800,218100
01-10-2001,169500,247800,152100,227200
01-01-2002,181800,254200,160900,238500
01-04-2002,173000,261100,164000,239600
01-07-2002,170900,255400,158200,228100
01-10-2002,179800,287100,165400,244400
01-01-2003,178200,208100,165800,253700
01-04-2003,176500,279900,164600,245600
01-07-2003,184000,259400,163400,272200
01-10-2003,189600,290000,169400,272800
01-01-2004,208900,292000,173800,273300
01-04-2004,203500,290300,171400,278700
01-07-2004,198100,347700,176700,277100
01-10-2004,214300,357400,190900,297000
01-01-2005,219000,366800,188600,309800
01-04-2005,208900,325700,192000,329900
01-07-2005,202700,318700,190000,344300
01-10-2005,224200,370300,200000,332000
01-01-2006,210700,334600,205900,330000
01-04-2006,203100,344600,206700,329800
01-07-2006,216800,380500,195100,342200
01-10-2006,216200,351400,207400,356500
01-01-2007,212800,370300,222900,341500
