DATE,Emp_level (1000),Unemp_level(1000)
01-01-1948,58061,2034
01-02-1948,58196,2328
01-03-1948,57671,2399
01-04-1948,58291,2386
01-05-1948,57854,2118
01-06-1948,58743,2214
01-07-1948,58968,2213
01-08-1948,58456,2350
01-09-1948,58513,2302
01-10-1948,58387,2259
01-11-1948,58417,2285
01-12-1948,58740,2429
01-01-1949,58175,2596
01-02-1949,58208,2849
01-03-1949,58043,3030
01-04-1949,57747,3260
01-05-1949,57552,3707
01-06-1949,57172,3776
01-07-1949,57190,4111
01-08-1949,57397,4193
01-09-1949,57584,4049
01-10-1949,57269,4916
01-11-1949,58009,3996
01-12-1949,57845,4063
01-01-1950,57635,4026
01-02-1950,57751,3936
01-03-1950,57728,3876
01-04-1950,58583,3575
01-05-1950,58649,3434
01-06-1950,59052,3367
01-07-1950,59001,3120
01-08-1950,59797,2799
01-09-1950,59575,2774
01-10-1950,59803,2625
01-11-1950,59697,2589
01-12-1950,59429,2639
01-01-1951,59636,2305
01-02-1951,59661,2117
01-03-1951,60401,2125
01-04-1951,59889,1919
01-05-1951,60188,1856
01-06-1951,59620,1995
01-07-1951,60156,1950
01-08-1951,59994,1933
01-09-1951,59713,2067
01-10-1951,60010,2194
01-11-1951,59836,2178
01-12-1951,60497,1960
01-01-1952,60460,1972
01-02-1952,60462,1957
01-03-1952,59908,1813
01-04-1952,59909,1811
01-05-1952,60195,1863
01-06-1952,60219,1884
01-07-1952,59971,1991
01-08-1952,59790,2087
01-09-1952,60521,1936
01-10-1952,60132,1839
01-11-1952,60748,1743
01-12-1952,60954,1667
01-01-1953,61600,1839
01-02-1953,61884,1636
01-03-1953,62010,1647
01-04-1953,61444,1723
01-05-1953,61019,1596
01-06-1953,61456,1607
01-07-1953,61397,1660
01-08-1953,61151,1665
01-09-1953,60906,1821
01-10-1953,60893,1974
01-11-1953,60738,2211
01-12-1953,59977,2818
01-01-1954,60024,3077
01-02-1954,60663,3331
01-03-1954,60186,3607
01-04-1954,60185,3749
01-05-1954,59908,3767
01-06-1954,59792,3551
01-07-1954,59643,3659
01-08-1954,59853,3854
01-09-1954,60282,3927
01-10-1954,60270,3666
01-11-1954,60357,3402
01-12-1954,60116,3196
01-01-1955,60753,3157
01-02-1955,60727,2969
01-03-1955,60964,2918
01-04-1955,61515,3049
01-05-1955,61634,2747
01-06-1955,61781,2701
01-07-1955,62513,2632
01-08-1955,62797,2784
01-09-1955,62950,2678
01-10-1955,62991,2830
01-11-1955,63257,2780
01-12-1955,63684,2761
01-01-1956,63753,2666
01-02-1956,63518,2606
01-03-1956,63411,2764
01-04-1956,63614,2650
01-05-1956,63861,2861
01-06-1956,63820,2882
01-07-1956,63800,2952
01-08-1956,63972,2701
01-09-1956,64079,2635
01-10-1956,63975,2571
01-11-1956,63796,2861
01-12-1956,63910,2790
01-01-1957,63632,2796
01-02-1957,64257,2622
01-03-1957,64404,2509
01-04-1957,64047,2600
01-05-1957,63985,2710
01-06-1957,64196,2856
01-07-1957,64540,2796
01-08-1957,63959,2747
01-09-1957,64121,2943
01-10-1957,64046,3020
01-11-1957,63669,3454
01-12-1957,63922,3476
01-01-1958,63220,3875
01-02-1958,62898,4303
01-03-1958,62731,4492
01-04-1958,62631,5016
01-05-1958,62874,5021
01-06-1958,62730,4944
01-07-1958,62745,5079
01-08-1958,63012,5025
01-09-1958,63181,4821
01-10-1958,63475,4570
01-11-1958,63470,4188
01-12-1958,63549,4191
01-01-1959,63868,4068
01-02-1959,63684,3965
01-03-1959,64267,3801
01-04-1959,64768,3571
01-05-1959,64699,3479
01-06-1959,64849,3429
01-07-1959,65011,3528
01-08-1959,64844,3588
01-09-1959,64770,3775
01-10-1959,64911,3910
01-11-1959,64530,4003
01-12-1959,65341,3653
01-01-1960,65347,3615
01-02-1960,65620,3329
01-03-1960,64673,3726
01-04-1960,65959,3620
01-05-1960,66057,3569
01-06-1960,66168,3766
01-07-1960,65909,3836
01-08-1960,65895,3946
01-09-1960,66267,3884
01-10-1960,65632,4252
01-11-1960,66109,4330
01-12-1960,65778,4617
01-01-1961,65776,4671
01-02-1961,65588,4832
01-03-1961,65850,4853
01-04-1961,65374,4893
01-05-1961,65449,5003
01-06-1961,65993,4885
01-07-1961,65608,4928
01-08-1961,65852,4682
01-09-1961,65541,4676
01-10-1961,65919,4573
01-11-1961,66081,4295
01-12-1961,65900,4177
01-01-1962,66108,4081
01-02-1962,66538,3871
01-03-1962,66493,3921
01-04-1962,66372,3906
01-05-1962,66688,3863
01-06-1962,66670,3844
01-07-1962,66483,3819
01-08-1962,66968,4013
01-09-1962,67192,3961
01-10-1962,67114,3803
01-11-1962,66847,4024
01-12-1962,66947,3907
01-01-1963,67072,4074
01-02-1963,67024,4238
01-03-1963,67351,4072
01-04-1963,67642,4055
01-05-1963,67615,4217
01-06-1963,67649,3977
01-07-1963,67905,4051
01-08-1963,67908,3878
01-09-1963,68174,3957
01-10-1963,68294,3987
01-11-1963,68267,4151
01-12-1963,68213,3975
01-01-1964,68327,4029
01-02-1964,68751,3932
01-03-1964,68763,3950
01-04-1964,69356,3918
01-05-1964,69631,3764
01-06-1964,69218,3814
01-07-1964,69399,3608
01-08-1964,69463,3655
01-09-1964,69578,3712
01-10-1964,69582,3726
01-11-1964,69735,3551
01-12-1964,69814,3651
01-01-1965,69997,3572
